t,s1
0.474,1.107620484
0.475,1
0.476,0.856954017
0.477,0.681086599
0.478,0.476203373
0.479,0.247214953
0.48,1.62093E-14
0.481,-0.258767814
0.482,-0.521823356
0.483,-0.781537406
0.484,-1.030160286
0.485,-1.260073511
0.486,-1.464040925
0.487,-1.635450718
0.488,-1.768539971
0.489,-1.858593931
0.49,-1.902113033
0.491,-1.896941754
0.492,-1.842354654
0.493,-1.739096404
0.494,-1.589374158
0.495,-1.396802247
0.496,-1.16630078
0.497,-0.903951348
0.498,-0.61681444
0.499,-0.312714548
0.5,-1.32312E-14
